Attractions, Entrance Fees BZ$ ,,,
Altun Ha,10.00 ,,,
Cahal Pech,10.00 ,,,
Lamanai,10.00 ,,,
Xunantunich,10.00 ,,,
Caracol,15.00 ,,,
Nim Li Punit,10.00 ,,,
Lubaantun,10.00 ,,,
Cerros,10.00 ,,,
El Pilar,10.00 ,,,
Barton Creek,10.00 ,,,
Tunichil Muknal,30.00 ,,, 4 
Serpon,10.00 ,,,
Santa Rita,10.00 ,,,
Marco Gonzales,20.00 ,,,
Guanacaste National Park,5.00 ,,,
Crooked Tree Wildlife Sanctuary,10.00 ,,,
Cockscomb Basin Wildlife Sanctuary,10.00 ,,,
St. Herman's Blue Hole National Park (Inland),8.00 ,,,
Half Moon Caye Natural Monument,20.00 ,,,
Blue Hole National Monument,60.00 ,,,
Hol Chan & Shark Ray Alley,10.00 ,,,
Caves Branch,10.00 ,,,
